PROJECT_ID,PROJECT_NAME,PROJECT_NAME_SHORT,COUNTRY,REGION,Project Period START_DT,Project Period END_DT,Agreement_Start_Date,Agreement_End_Date,PROPOSAL STATUS,DONOR RECEIVING PROPOSAL,DATE SUBMITTED TO DONOR,STATUS (PMD Pro),STAFFING_LEVEL,TARGET_Direct_BENEF_LOP,Actual_Direct_Beneficiaries_LOP,SECTOR_PRIMARY,SECTOR_SECONDARY,Project_Implementation,Expr2,Date_Proposal_Accepted_or_Rejected,Target_Indirect_Beneficiaries_LOP,Target_Direct_Beneficiaries_FY13,Actual_Direct_Beneficiaries_FY13,TOTAL LOP BUDGET,FUNDING_SOURCE 1,Funding Source 1 Amount,FUNDING_SOURCE 2,Funding Source 2 Amount,FUNDING SOURCE 3,Funding Source 3 Amount,FUNDING_SOURCE_NOTES,QPR REQUIRED?,PROJ_DESCR_UPDATED,Notes
70,Improving Community Health in Hurricane Mitch Affected Communities- CDC Water & Sanitation Project,Wat/San Follow Up Model,NICARAGUA,LAC,01-Jun-12,30-Sep-13,01-Jun-12,30-Jun-13,Submitted-accepted,,17-Apr-12,Implementation,Field Visits,735.00,,DM - Recovery,Water & Sanitation,HNS,,27-Apr-12,,735,,"$152,824.00",ARC (SIF),"$152,824.00",US Centers for Disease Control,"$149,850.00",,,CDC pays contractor's salary; ARC pays project costs,TRUE,TRUE,"Total for all beneficiaries for Guatemala, El Salvador, Honduras and Nicaragua on the proposal is 19,765 (slight discrepancy from adding up country totals). This project has been ongoing (renewed each year) since 1999. Do not have an exact start date."
122,Program for Enhancement of Emergency Response,PEER,PAKISTAN,Asia,01-Apr-09,31-Mar-14,,,Submitted-accepted,,28-Aug-08,Implementation,Field Visits,500.00,,DM - Preparedness/DRR,,,,,,,,"$1,068,260.00",ARC,"$1,068,260.00",,,,,Total LOP budget is reflective of total combined figures for all nine PEER countries.,TRUE,FALSE,
119,Latin America Risk Reduction Activities II,DP - LARRA II,PANAMA,LAC,01-Dec-11,28-Feb-14,01-Dec-11,30-Nov-13,Submitted-accepted,SIF,01-Oct-11,Implementation,Field Visits,"41,448.00",,DM - Preparedness/DRR,Water & Sanitation,,,15-Oct-11,,,,"$330,108.00",ARC (SIF),"$330,108.00",,,,,,TRUE,TRUE,
78,Latin America Risk Reduction Activities,DP - LARRA,PERU,LAC,01-Jul-12,31-Oct-13,01-Jul-12,31-Aug-13,Submitted-accepted,Merck,01-Jun-09,Implementation,Intl Staff Presence,300.00,,DM - Preparedness/DRR,Capacity Building,,,01-Aug-09,,200,,"$70,000.00",ARC (Other),"$70,000.00",,,,,,TRUE,TRUE,Focus on NS capacity building
120,Program for Enhancement of Emergency Response,PEER,PHILIPPINES,Asia,01-Apr-09,31-Mar-14,,,Submitted-accepted,,28-Aug-08,Implementation,Field Visits,500.00,,DM - Preparedness/DRR,,,,,,,,"$1,068,260.00",ARC,"$1,068,260.00",,,,,Total LOP budget is reflective of total combined figures for all nine PEER countries.,TRUE,TRUE,
116,Saving Lives in the Caribbean Through Preparedness,DP - Caribbean Phase III,SAINT LUCIA,LAC,25-Sep-11,24-Nov-13,25-Aug-11,24-Aug-13,Submitted-accepted,USAID/OFDA,22-Apr-11,Implementation,Field Visits,"11,553.00",,DM - Preparedness/DRR,,HNS,,02-Jul-11,0,,,"$329,790.00",USAID/OFDA,"$329,790.00",,,,,,TRUE,TRUE,No indirect beneficiaries. Struggling with calculating benificiaries..no number as of yet.
115,ICRC Annual Appeal for Darfur,ICRC Darfur,SUDAN,Africa,,,,,,,,Implementation,None,,,DM - Response,,,,,,,,,,,,,,,,FALSE,FALSE,
91,Emergency Assistance to Congolese & Burundian Refugees in Tanzania,TZ BPRM,TANZANIA,Africa,01-Sep-04,31-Aug-13,01-Sep-12,31-Aug-13,Submitted-accepted,BPRM,13-Aug-12,Implementation,Intl Staff Presence,"122,230.00",,DM - Response,Refugee Care,HNS,,15-Nov-12,,,,"$520,479.00",US State Dept (BPRM),"$520,479.00",,,,,This is budget for year 9.  See PO for information about previous years.,TRUE,TRUE,
129,Prepare Central Asia: Urban Earthquake Preparedness Initiative,PCA,TURKMENISTAN,EMECA,01-Jul-12,30-Jun-13,,,,,,Implementation,Field Visits,"20,000.00",,DM - Preparedness/DRR,,,,,,20000,,"$550,100.00",ARCT,"$550,100.00",,,,,Total Budget figure is reflective of both Turkmenistan and Kazakhstan.,TRUE,TRUE,Target beneficiaries number reflective of both Kazakhstan and Turkmenistan PCA projects.
124,Prepare Uganda: Reducing Risks in Urban Communities,Urban DP,UGANDA,Africa,01-Jul-12,31-Dec-14,06-Jul-12,30-Mar-15,Submitted-accepted,,08-Jun-12,Implementation,Intl Staff Presence,"30,000.00",,DM - Preparedness/DRR,,HNS,,06-Jul-12,55000,,,"$1,064,249.00",ARCT,"$280,000.00",ARC (SIF),"$120,000.00",,,Funding source amounts are for Year 1 only. Funding sources for Year 2 are TBD.,TRUE,TRUE,
125,Manafwa River Basin,Manafwa,UGANDA,Africa,01-Jul-12,30-Jun-15,06-Jul-12,30-Sep-15,Submitted-accepted,,14-Jun-12,Implementation,Intl Staff Presence,"75,000.00",,DM - Preparedness/DRR,,HNS,,06-Jul-12,,,,"$1,793,353.00",ARCT,"$325,449.00",USAID/OFDA,"$498,919.00",,,"OFDA funding source amount is for Yr 1 and 2. ARCT is for Yr 1. Rest is TBD/SIF for yr 2 and 3;  ARCT funding is only secured for the first year, but expected for years 2 and 3",TRUE,TRUE,
104,Disaster Risk Reduction Expanded Program in Vietnam,Vietnam DRR,VIETNAM,Asia,01-Oct-10,30-Sep-13,,,,,,Implementation,Intl Staff Presence,"140,000.00",,DM - Preparedness/DRR,,,,,,,,"$1,122,601.00",USAID/OFDA,"$491,266.00",ARCT,"$400,000.00",ARC (SIF),"$376,889.00",,TRUE,TRUE,
121,Program for Enhancement of Emergency Response,PEER,VIETNAM,Asia,01-Apr-09,31-Mar-14,,,Submitted-accepted,,28-Aug-08,Implementation,Intl Staff Presence,500.00,,DM - Preparedness/DRR,,,,,,,,"$1,068,260.00",ARC,"$1,068,260.00",,,,,Total LOP budget is reflective of total combined figures for all nine PEER countries.,TRUE,TRUE,
107,Building Resilient African Communities,BRACES,ZIMBABWE,Africa,01-Oct-11,30-Sep-13,04-Nov-11,31-Dec-13,Submitted-accepted,,19-Sep-11,Implementation,Field Visits,"9,875.00",,DM - Preparedness/DRR,,HNS,,04-Nov-11,,,,"$2,326,526.00",ARCT,,ARC (SIF),,,,"year 1- 46% ARCT, 54% SIF; year 2-70% ARCT, 30% SIF. LOP budget is TOTAL BRACES budget including Namibia, Zimbabwe and Botswana (FY12).",TRUE,TRUE,
130,Caribbean HIV/AIDS Project,CHAP II,BAHAMAS,LAC,01-Jul-12,30-Aug-14,01-Jul-12,30-Jun-14,Submitted-accepted,ARC (SIF),01-May-12,Implementation,Field Visits,,,Community Health - HIV,,HNS,,11-May-12,,8807,2909,"$566,526.00",ARC (SIF),"$566,526.00",,,,,,TRUE,TRUE,CHAP II only has target benificiaries for FY13. FY14 has not been determined yet hence the lack of data for LOP target beneficiaries
131,Caribbean HIV/AIDS Project,CHAP II,GUYANA,LAC,01-Jul-12,30-Aug-14,01-Jul-12,30-Jun-14,Submitted-accepted,ARC (SIF),01-May-12,Implementation,Field Visits,,,Community Health - HIV,,HNS,,11-May-12,,2773,747,"$492,457.00",ARC (SIF),"$492,457.00",,,,,,TRUE,TRUE,CHAP II only has target benificiaries for FY13. FY14 has not been determined yet hence the lack of data for LOP target beneficiaries
132,Caribbean HIV/AIDS Project,CHAP II,JAMAICA,LAC,01-Jul-12,30-Aug-14,01-Jul-12,30-Jun-14,Submitted-accepted,ARC (SIF),01-May-12,Implementation,Field Visits,,,Community Health - HIV,,HNS,,11-May-12,,4725,1578,"$437,642.00",ARC (SIF),"$437,642.00",,,,,,TRUE,TRUE,CHAP II only has target benificiaries for FY13. FY14 has not been determined yet hence the lack of data for LOP target beneficiaries
133,Integrated Health-DRR,Wonogiri DRR/CBHFA,INDONESIA,Asia,25-Mar-12,24-Dec-14,,,,,,Implementation,Intl Staff Presence,"116,838.00",,Integrated,,HNS,,,,,,"$323,410.00",ARC,"$173,410.00",OTHER,"$15,000.00",,,50% ARC and 50% Spanish Red Cross,TRUE,TRUE,
135,STAR Organizational Development Project - Namibia (Internal Communication),STAR Namibia,NAMIBIA,Africa,01-Aug-12,31-May-13,,,Submitted-accepted,ARCT,16-Nov-12,Implementation,Field Visits,,,OD,,Other,,,,,,"$26,615.00",ARCT,"$26,615.00",,,,,Grant letter funded,FALSE,FALSE,"Implemented directly and through the HNS. The initial project was scheduled to end 1/31/13, but it has been extended to 5/31/13 to include a comms audit."
138,STAR Organizational Development Project- El Salvador (Financial Mgmt),STAR El Salvador,EL SALVADOR,LAC,18-Mar-13,19-May-14,18-Mar-13,19-Mar-14,Submitted-accepted,ARCT,,Implementation,Field Visits,,,OD,,,,,,,,"$93,504.00",ARCT,,,,,,grant letter funded,FALSE,FALSE,grant funded; grant letter under review with NS
173,Social Mobilization for Measles-Rubella Campaign 2012,Soc Mob (Nepal),NEPAL,Asia,01-Mar-12,31-Oct-12,01-Mar-12,31-Mar-13,Submitted-accepted,,,Implementation,Field Visits,"1,172,622.00",,Measles,,HNS,,,,,,"$112,421.00",ARC,"$112,421.00",,,,,,FALSE,TRUE,
168,Vietnam Forests and Deltas,Vietnam Winrock,VIETNAM,Asia,22-Oct-12,17-Oct-13,,,Submitted-accepted,USAID,01-Jun-12,Planning,Intl Staff Presence,,,DM - Preparedness/DRR,,,,,,,,"$5,886,681.00",USAID/OFDA,"$4,886,681.00",ARC (SIF),"$1,000,000.00",,,,TRUE,FALSE,LOP Budget is ARC's portion only.  We are a sub to Winrock as the prime; Chau not sure of benef numbers; will do some more research.
165,STAR Organizational Development Project- Peru,STAR Peru,PERU,LAC,06-May-13,,,,,,,Project Identification & Proposal,Intl Staff Presence,,,OD,,HNS,,,,,,,,,,,,,,TRUE,FALSE,
166,STAR Organizational Development Project-Chile,STAR Chile,CHILE,LAC,08-Apr-13,,,,,,,Project Identification & Proposal,Intl Staff Presence,,,OD,,,,,,,,,,,,,,,,TRUE,FALSE,
167,STAR Organizational Development Project-Bahamas,STAR Bahamas,BAHAMAS,LAC,25-Feb-13,,,,,,,Project Identification & Proposal,Field Visits,,,OD,,,,,,,,,,,,,,,,FALSE,FALSE,
65139596,Regional Humanitarian Action for Refugee and Displaced Populations from the Colombian Conflict and their Host Communities (Phase XI),PRM Colombia and Ecuador,COLOMBIA,LAC,01-Sep-13,31-Aug-14,,,Submitted-pending,PRM,15-May-13,Project Identification & Proposal,ARC Staff (host country national),"35,000.00",,Refugee Care,Community Health - General,,,,,,,"$695,040.00",US State Dept (BPRM),"$586,210.00",ARC (SIF),"$108,830.00",,,,TRUE,FALSE,
65139597,Regional Humanitarian Action for Refugee and Displaced Populations from the Colombian Conflict and their Host Communities (Phase XI),PRM Colombia and Ecuador,ECUADOR,LAC,01-Sep-13,31-Aug-14,,,Submitted-pending,PRM,15-May-13,Project Identification & Proposal,Field Visits,"35,000.00",,Refugee Care,Community Health - General,,,,,,,"$695,040.00",US State Dept (BPRM),,ARC (SIF),,,,,FALSE,FALSE,
134,PMER System Development,OD PMER,INDONESIA,Asia,01-Jan-13,31-Dec-15,,,Submitted-accepted,Internal,12-Feb-13,Project Identification & Proposal,Intl Staff Presence,"1,600.00",,OD,,,,21-Feb-13,,,,"$600,000.00",ARC (Restricted Funding),"$600,000.00",,,,,ARC (TRP) funded,FALSE,FALSE,
137,STAR Organizational Development Project- Uganda (Org Learning),STAR Uganda,UGANDA,Africa,01-Apr-13,19-Jul-13,,,Submitted-pending,Internal,03-Apr-13,Project Identification & Proposal,Intl Staff Presence,,,OD,,HNS,,,,,,"$5,239.00",ARCT,"$5,239.00",,,,,Project proposal is in the process of being approved.,FALSE,FALSE,
139,STAR Organizational Development Project- Nepal,STAR Nepal,NEPAL,Asia,,,,,,,,Project Identification & Proposal,Field Visits,,,OD,,,,,,,,,,,,,,,PA is not in place; will potentially start initial activities at end of FY13 but not sure,FALSE,FALSE,
169,"Disaster Preparedness and Response Training for Red Cross Society of China, Phase II",China DM Training,CHINA,Asia,01-Mar-13,20-Jun-14,,,Submitted-accepted,Internal,06-Feb-13,Project Identification & Proposal,Intl Staff Presence,225.00,,DM - Preparedness/DRR,Capacity Building,,,08-Mar-13,,,,"$134,674.00",ARC (Restricted Funding),,,,,,,TRUE,TRUE,
170,Social Mobilization (Ethiopia),Soc Mob (Ethiopia),ETHIOPIA,Africa,27-May-13,07-Jun-13,,,Submitted-accepted,Internal,02-Apr-13,Project Identification & Proposal,Field Visits,"120,647.00",,Measles,,HNS,,07-Apr-13,,120647,,"$161,054.00",ARCT,"$161,054.00",,,,,,FALSE,TRUE,
172,Corporate Volunteers,Corporate Volunteers,INDONESIA,Asia,01-Jan-13,31-Dec-14,,,Submitted-pending,Internal,24-Jan-13,Project Identification & Proposal,Intl Staff Presence,614.00,,OD,,HNS,,,6402,,,"$400,000.00",ARC (Restricted Funding),"$400,000.00",,,,,100% ARC (TRP) funded,TRUE,FALSE,
65139588,FY14 Resilience in the Americas (RITA)- Bahamas,RITA-Bahamas,BAHAMAS,LAC,01-Jul-13,30-Jun-14,,,Submitted-pending,ARCT,27-Feb-13,Project Identification & Proposal,Field Visits,,,Integrated,,HNS,,,,,,,,,,,,,,TRUE,FALSE,
65139589,FY14 Resilience in the Americas (RITA)-Guyana,RITA-Guyana,GUYANA,LAC,01-Jul-13,30-Jun-14,,,Submitted-pending,ARCT,27-Feb-13,Project Identification & Proposal,Field Visits,,,Integrated,,HNS,,,,,,,,,,,,,,TRUE,FALSE,
65139590,FY14 Resilience in the Americas (RITA)-Belize,RITA-Belize,BELIZE,LAC,01-Jul-13,30-Jun-14,,,Submitted-pending,ARCT,27-Feb-13,Project Identification & Proposal,Field Visits,,,Integrated,,HNS,,,,,,,,,,,,,,TRUE,FALSE,
65139591,FY14 Resilience in the Americas (RITA)- Nicaragua,RITA-Nicaragua,NICARAGUA,LAC,01-Jul-13,30-Jun-14,,,Submitted-pending,ARCT,27-Feb-13,Project Identification & Proposal,Field Visits,,,Integrated,,HNS,,,,,,,,,,,,,,TRUE,FALSE,
65139592,FY14 Resilience in the Americas (RITA)-Costa Rica,RITA-Costa Rica,COSTA RICA,LAC,01-Jul-13,30-Jun-14,,,Submitted-pending,ARCT,27-Feb-13,Project Identification & Proposal,Field Visits,,,Integrated,,HNS,,,,,,,,,,,,,,TRUE,FALSE,
65139593,FY14 Resilience in the Americas (RITA)-El Salvador,RITA-El Salvador,EL SALVADOR,LAC,01-Jul-13,30-Jun-13,,,Submitted-pending,ARCT,27-Feb-13,Project Identification & Proposal,Field Visits,,,Integrated,,HNS,,,,,,,,,,,,,,TRUE,FALSE,
65139594,FY14 Resilience in the Americas (RITA)-Panama,RITA-Panama,PANAMA,LAC,01-Jul-13,30-Jun-14,,,Submitted-pending,ARCT,27-Feb-13,Project Identification & Proposal,Intl Staff Presence,,,Integrated,,HNS,,,,,,,,,,,,,,TRUE,FALSE,
65139585,FY14 Resilience in the Americas (RITA)- Colombia,RITA - Colombia,COLOMBIA,LAC,01-Jul-13,30-Jun-14,,,Submitted-pending,ARCT,27-Feb-13,Project Identification & Proposal,Field Visits,,,Integrated,DM - Preparedness/DRR,HNS,,,,,,,,,,,,,,TRUE,FALSE,
65139586,FY14 Resilience in the Americas (RITA)- Ecuador,RITA - Ecuador,ECUADOR,LAC,01-Jul-13,30-Jun-14,,,Submitted-pending,ARCT,27-Feb-13,Project Identification & Proposal,Field Visits,,,Integrated,DM - Preparedness/DRR,HNS,,,,,,,,,,,,,,TRUE,FALSE,
65139587,FY14 Resilience in the Americas (RITA)- Peru,RITA - Peru,PERU,LAC,01-Jul-13,30-Jun-14,,,Submitted-pending,ARCT,27-Feb-13,Project Identification & Proposal,Intl Staff Presence,,,Integrated,DM - Preparedness/DRR,HNS,,,,,,,,,,,,,,TRUE,FALSE,
